order_uid	previous_order_status	transition_name	new_order_status	user_role	date_time	comment
7d5b87b8-6f0b-4663-9622-dc8f80d43844	in_qa	deliver	delivered	qa	2017-02-08 17:21:00	deliver_add._transition
8046a06f-0ab4-411f-93a3-8c6bf68e5a33	in_qa	deliver	delivered	qa	2016-12-14 10:50:00	first delivery
8046a06f-0ab4-411f-93a3-8c6bf68e5a33	delivered	refuse	refused	customer	2016-12-23 08:29:00	refusal
8046a06f-0ab4-411f-93a3-8c6bf68e5a33	refused	require_revision	in_qa	pm		send_back_to_qa
8046a06f-0ab4-411f-93a3-8c6bf68e5a33	in_qa	deliver	delivered	qa	2017-01-25 13:25:00	deliver_add._transition
82b09471-a73c-42ee-8da2-8ec1b0b9dce8	in_qa	deliver	delivered	qa	2016-12-12 12:05:00	first delivery
82b09471-a73c-42ee-8da2-8ec1b0b9dce8	delivered	refuse	refused	customer	2017-01-10 05:43:00	refusal
82b09471-a73c-42ee-8da2-8ec1b0b9dce8	refused	require_revision	in_qa	pm		send_back_to_qa
82b09471-a73c-42ee-8da2-8ec1b0b9dce8	in_qa	deliver	delivered	qa	2017-01-18 11:46:00	deliver_add._transition
85674952-249d-46b6-af8a-9f687d38822c	in_qa	deliver	delivered	qa	2016-12-22 11:14:00	first delivery
85674952-249d-46b6-af8a-9f687d38822c	delivered	refuse	refused	customer	2017-01-10 04:29:00	refusal
85674952-249d-46b6-af8a-9f687d38822c	refused	require_revision	in_qa	pm		send_back_to_qa
85674952-249d-46b6-af8a-9f687d38822c	in_qa	deliver	delivered	qa	2017-01-10 15:31:00	deliver_add._transition
85abd017-f249-4faa-947d-754191712c3b	in_qa	deliver	delivered	qa	2017-01-17 17:21:00	first delivery
85abd017-f249-4faa-947d-754191712c3b	delivered	refuse	refused	customer	2017-02-03 11:38:00	refusal
85abd017-f249-4faa-947d-754191712c3b	refused	require_revision	in_qa	pm		send_back_to_qa
85abd017-f249-4faa-947d-754191712c3b	in_qa	deliver	delivered	qa	2017-02-08 17:16:00	deliver_add._transition
891aa3d0-1300-4e6e-ab55-51cd535a2758	in_qa	deliver	delivered	qa	2016-12-27 13:07:00	first delivery
891aa3d0-1300-4e6e-ab55-51cd535a2758	delivered	refuse	refused	customer	2017-01-16 09:47:00	refusal
891aa3d0-1300-4e6e-ab55-51cd535a2758	refused	require_revision	in_qa	pm		send_back_to_qa
891aa3d0-1300-4e6e-ab55-51cd535a2758	in_qa	deliver	delivered	qa	2017-02-07 13:41:00	deliver_add._transition
8a0814b7-ddc7-4082-bd70-d648fb158917	in_qa	deliver	delivered	qa	2016-11-18 14:48:00	first delivery
8a0814b7-ddc7-4082-bd70-d648fb158917	delivered	refuse	refused	customer	2016-12-08 10:15:00	refusal
8a0814b7-ddc7-4082-bd70-d648fb158917	refused	require_revision	in_qa	pm		send_back_to_qa
8a0814b7-ddc7-4082-bd70-d648fb158917	in_qa	deliver	delivered	qa	2017-01-20 12:14:00	deliver_add._transition
8ab9f893-30be-4c19-a8cc-f64838a2e3b2	in_qa	deliver	delivered	qa	2016-12-23 12:30:00	first delivery
8ab9f893-30be-4c19-a8cc-f64838a2e3b2	delivered	refuse	refused	customer	2017-01-12 00:00:00	refusal
8ab9f893-30be-4c19-a8cc-f64838a2e3b2	refused	require_revision	in_qa	pm		send_back_to_qa
8ab9f893-30be-4c19-a8cc-f64838a2e3b2	in_qa	deliver	delivered	qa	2017-01-31 16:50:00	deliver_add._transition
8ab9f893-30be-4c19-a8cc-f64838a2e3b2	delivered	refuse	refused	customer	2017-02-10 10:27:00	refusal
8ab9f893-30be-4c19-a8cc-f64838a2e3b2	refused	require_revision	in_qa	pm		send_back_to_qa
8b86fc66-9116-418a-afc7-b71200517202	in_qa	deliver	delivered	qa	2017-01-17 11:26:00	first delivery
8b86fc66-9116-418a-afc7-b71200517202	delivered	refuse	refused	customer	2017-02-10 00:00:00	refusal
8b86fc66-9116-418a-afc7-b71200517202	refused	require_revision	in_qa	pm		send_back_to_qa
8e0cd110-dd5a-498a-b7b6-ef496a005b8b	in_qa	deliver	delivered	qa	2017-01-04 15:14:00	first delivery
8e0cd110-dd5a-498a-b7b6-ef496a005b8b	delivered	refuse	refused	customer	2017-01-25 10:48:00	refusal
8e0cd110-dd5a-498a-b7b6-ef496a005b8b	refused	require_revision	in_qa	pm		send_back_to_qa
8e0cd110-dd5a-498a-b7b6-ef496a005b8b	in_qa	deliver	delivered	qa	2017-01-25 14:19:00	deliver_add._transition
8f31a7f7-5284-408a-aea0-ca279e2ba235	in_qa	deliver	delivered	qa	2016-12-28 11:32:00	first delivery
8f31a7f7-5284-408a-aea0-ca279e2ba235	delivered	refuse	refused	customer	2017-01-19 09:47:00	refusal
8f31a7f7-5284-408a-aea0-ca279e2ba235	refused	require_revision	in_qa	pm	2017-02-08 11:32:18	send_back_to_qa
900e7405-f8f2-4235-b690-5f1361e9a21e	in_qa	deliver	delivered	qa	2016-11-04 10:51:00	first delivery
900e7405-f8f2-4235-b690-5f1361e9a21e	delivered	refuse	refused	customer	2016-12-08 10:43:00	refusal
900e7405-f8f2-4235-b690-5f1361e9a21e	refused	require_revision	in_qa	pm		send_back_to_qa
900e7405-f8f2-4235-b690-5f1361e9a21e	in_qa	deliver	delivered	qa	2017-01-04 18:29:00	deliver_add._transition
9147920d-fbcb-47fd-86e6-675c7279ee1d	in_qa	deliver	delivered	qa	2017-01-06 10:30:00	first delivery
9147920d-fbcb-47fd-86e6-675c7279ee1d	delivered	refuse	refused	customer	2017-01-26 11:01:00	refusal
9147920d-fbcb-47fd-86e6-675c7279ee1d	refused	require_revision	in_qa	pm		send_back_to_qa
9147920d-fbcb-47fd-86e6-675c7279ee1d	in_qa	deliver	delivered	qa	2017-02-10 10:33:00	deliver_add._transition
93203713-5f8f-42be-ad24-f803a5ccf9d7	in_qa	deliver	delivered	qa	2017-01-12 10:32:00	first delivery
93203713-5f8f-42be-ad24-f803a5ccf9d7	delivered	refuse	refused	customer	2017-01-31 12:00:00	refusal
93203713-5f8f-42be-ad24-f803a5ccf9d7	refused	require_revision	in_qa	pm		send_back_to_qa
93203713-5f8f-42be-ad24-f803a5ccf9d7	in_qa	deliver	delivered	qa	2017-02-09 11:21:00	deliver_add._transition
9522a291-e6a2-45b0-9110-3898b65d763d	in_qa	deliver	delivered	qa	2016-10-28 13:26:00	first delivery
9522a291-e6a2-45b0-9110-3898b65d763d	delivered	refuse	refused	customer	2016-11-03 00:00:00	refusal
9522a291-e6a2-45b0-9110-3898b65d763d	refused	require_revision	in_qa	pm		send_back_to_qa
