project	customer_id	delivery	folder_name	images
Agoda Bali	2209	https://drive.google.com/drive/folders/0BzVECRdNByQAcVNmSTNqWW5ITUE	2209	86
Agoda Bali	223132	https://drive.google.com/drive/folders/0BzVECRdNByQAS1dyTzdSRC1nLUk	223132	86
Agoda Bali	223214	https://drive.google.com/drive/folders/0B2QYuPa8WdDsLUNiQ0EyMmhOOTA	223214	71
Agoda Bali	225725	https://drive.google.com/drive/folders/0B6sHgFwBTW0qRm83WHJ5ajFpd1U	 225725	91
Agoda Bali	230470	https://drive.google.com/drive/folders/0BwrdIL719n7wcWNDdDdvcHMzUEk	230470	47
Agoda Bali	230546	https://drive.google.com/drive/folders/0B2QYuPa8WdDsaVVHN0VOX2NKNzQ	230546	81
Agoda Bali	230553	https://drive.google.com/drive/folders/0B6I0mAjGkrndeENITzVhcDIxU00	originals	91
Agoda Bali	230570	https://drive.google.com/drive/folders/0BzVECRdNByQAXzhrNWNLX3Zac3c	230570	51
Agoda Bali	230697	https://drive.google.com/drive/folders/0B1H-4CqQJz7aLV92ZHVPWmtJUXM	230697	70
Agoda Bali	230707	https://drive.google.com/drive/folders/0BwrdIL719n7wQkRvNEJtaFNkc3c	230707	76
Agoda Bali	230743	https://drive.google.com/drive/folders/0B2QYuPa8WdDsVXJRUFFvYWNWYmc	230743	76
Agoda Bali	230779	https://drive.google.com/drive/folders/0BwrdIL719n7wdFliTWZoQ25UQm8	230779	69
Agoda Bali	234443	https://drive.google.com/drive/folders/0B1H-4CqQJz7aOXpKOWtwVzUyaWM	234443	46
Agoda Bali	235104	https://drive.google.com/drive/folders/0B1H-4CqQJz7aZTBHWjZiUWJsRUE	235104	66
Agoda Bali	236954	https://drive.google.com/drive/folders/0B6sHgFwBTW0qUmw1S2hZaGhCSHc	236954	104
Agoda Bali	237515	https://drive.google.com/drive/folders/0B1H-4CqQJz7aamY1OC1FZ0VFYTQ	237515	56
Agoda Bali	237522	https://drive.google.com/drive/folders/0BwrdIL719n7wbTV6Zl8wMS00ajA	237522	58
Agoda Bali	237794	https://drive.google.com/drive/folders/0B2QYuPa8WdDsLVlDRlBGYXBYb2M	237794	69
Agoda Bali	237869	https://drive.google.com/drive/folders/0B2QYuPa8WdDsWFA2MlExRVZBWXM	237869	80
Agoda Bali	237890	https://drive.google.com/drive/folders/0B2QYuPa8WdDsQk4tRWpVUzFjV0k	237890	74
Agoda Bali	237936	https://drive.google.com/drive/folders/0B6bhERF4B_DpTUNUSUV3OU1NeEE	237936	75
Agoda Bali	237994	https://drive.google.com/drive/folders/0B6I0mAjGkrndd1JVZTFCUm41WTQ	originals	71
Agoda Bali	237995	https://drive.google.com/drive/folders/0BzVECRdNByQAWm5JQ3c0cUl3cHM	237995	53
Agoda Bali	238036	https://drive.google.com/drive/folders/0B2QYuPa8WdDscTZET2lZSWI3OVk	238036	61
Agoda Bali	239511	https://drive.google.com/drive/folders/0BzVECRdNByQAU1JuVG9VTHhPRG8	239511	61
