hotel_id	hotel_name	country_name	hotel_address	postal_code	city_name	area_name	hotel_latitude	hotel_longitude	import
443814	Kata Sea View Villas	Thailand	12, Soi 2, Patak Road, Kata Beach  	83100	Phuket	Kata	7,820840236	98,31008004	18/11/16
443999	Family House	Thailand	100/8-9 Kata Rd, Karon  	83100	Phuket	Kata	7,824840981	98,29789907	18/11/16
444070	Fisherman Way Beach Resort	Thailand	5/11 Moo.5, Vises Road,Rawai  	83100	Phuket	Chalong	7,813448906	98,34145355	18/11/16
444475	Baan Phuanda Phuket	Thailand	371/22-26 Yaowarat Rd., Talad Yai district  	83000	Phuket	Phuket Town	7,902644212	98,37705374	18/11/16
444514	Zodiac Seaview@Patong Apartment Service	Thailand	22, Hasip Pee Road  	83150	Phuket	Patong	7,895218849	98,31044006	18/11/16
444623	Arita House	Thailand	99/6 Rath-Uthit 200 Pee Rd.,  	83150	Phuket	Patong	7,896924761	98,29979723	18/11/16
444624	Chalong Beach Front Residence	Thailand	24/12 Moo 5 Soi Kep-Sap Viset Road  	83130	Phuket	Rawai	7,804296813	98,33839774	18/11/16
444636	Mingshou Boutique House	Thailand	34 krabi Road.mung  	83000	Phuket	Phuket Town	7,885007674	98,38653257	18/11/16
444835	Nin Apartments	Thailand	224/9 Patak Rd  	83100	Phuket	Karon	7,847978293	98,29384793	18/11/16
444994	Baan Karon Hill Phuket Resort	Thailand	689 moo 1, Patak Road,  	83100	Phuket	Karon	7,856112003	98,29137421	18/11/16
445052	Condo Telburi @ Phuket	Thailand	180 Soi 73 Moo 6 Jaofatawantok Road  	83000	Phuket	Chalong	7,855176926	98,33300018	18/11/16
445304	Villa Diva Star Koh Yao Noi	Thailand	29/29 Moo 5 Koh Yao Noi Sub-district, Koh Yao District, Phang-nga Province  	82160	Phuket	Koh Yao Noi	8,106010437	98,622612	18/11/16
445402	Expat Hotel	Thailand	163/17 Ratuthit 200 Pee Road,  	83150	Phuket	Patong	7,893224239	98,29959869	18/11/16
445440	Kata Ocean View Residences	Thailand	Patak Km.2 Rd  	83110	Phuket	Kata	7,818062093	98,31300259	18/11/16
445457	The Frutta Boutique Hotel	Thailand	86/14 Pra Paramee  	83150	Phuket	Patong	7,903194587	98,3072878	18/11/16
445540	The Silk Hill Hotel	Thailand	148/6-10 Soi Nanai Villa, Nanai Road,  	83150	Phuket	Patong	7,882948029	98,30053346	18/11/16
445572	Phuthara Mansion	Thailand	63/33 Chaofah Suanluang Rd.  	83000	Phuket	Phuket Town	7,873167378	98,36766064	18/11/16
445985	Kata Green Beach Hotel	Thailand	100/76 Kata Rd,Karon  	83100	Phuket	Kata	7,825061	98,29721	18/11/16
446398	Anodard Phuket Resort	Thailand	62/21 Moo2Tambon Sakoo  	83110	Phuket	Naithon	8,07601905	98,2970516	18/11/16
460221	Blue Sky Residence	Thailand	205/19 Soi Tamdeee Nanai Road  	83150	Phuket	Patong	7,881692886	98,3001709	18/11/16
460318	The Haven Condo Patong	Thailand	6/59 Sirirad Rd.  	83150	Phuket	Patong	7,880396366	98,29322052	18/11/16
460321	The Kris Condo Pool Access	Thailand	24/129 Sirirat Road  	83150	Phuket	Patong	7,877764702	98,28993225	18/11/16
460540	On The Hill Karon Resort	Thailand	693 Patak Rd.,Tumbon Karon,  	83100	Phuket	Karon	7,859810829	98,28781128	18/11/16
460543	Baan Kamala Backpacker	Thailand	74/43 Moo 3, Kamala Beach  	83150	Phuket	Kamala	7,949066162	98,28308868	18/11/16
460615	Prima Villa Karon	Thailand	22 soi patak 14  	83110	Phuket	Karon	7,835037414	98,29958014	18/11/16
461764	Chang Guesthouse	Thailand	78/3,Nanai Road, T.Patong, A.Kathu  	83150	Phuket	Patong	7,889501379	98,30379196	18/11/16
462017	Sukcheewa Residence Phuket	Thailand	6/4 Sirirat Road  	83150	Phuket	Patong	7,879739498	98,29259411	18/11/16
462048	Eezee Inn Guesthouse	Thailand	34/24-25 prachanukhro rd  	83150	Phuket	Patong	7,881282547	98,29391599	18/11/16
462269	Amin Resort	Thailand	325/2 Moo.5 T.cherng  	83110	Phuket	Bang Thao	7,986138998	98,29366855	18/11/16
462583	Aree Home Guesthouse	Thailand	262/2 Moo 5, Chengthalay, Thalang  	83110	Phuket	Bang Thao	7,982397728	98,29952717	18/11/16
462850	Ratana Apart-Hotel at Kamala	Thailand	73/65 Moo.3  	83150	Phuket	Kamala	7,94794802	98,28127543	18/11/16
462981	Marriott's Phuket Beach Club	Thailand	230, 232 Moo 3, Mai Khao Talang  	83110	Phuket	Mai Khao	8,168195	98,294602	18/11/16
462992	Phuket ABC Group Hotel	Thailand	179/101-102 Rat U Thit Road, Soi Sansabai  	83150	Phuket	Patong	7,892883778	98,30050659	18/11/16
478038	Paksaa Boutique Hotel	Thailand	85, 85/1 Phangmueang Sai Kor Road  	83150	Phuket	Patong	7,8864591	98,29881538	18/11/16
478846	T-Villa Resort	Thailand	57/6 Nai yang Rd.  	83110	Phuket	Phuket Airport	8,092055321	98,30664825	18/11/16
478890	Patong Panomporn Phuket	Thailand	44/8-10 Klongbangwat Road,Patong Beach,Kathu District  	83150	Phuket	Patong	7,900696996	98,30851078	18/11/16
479143	Maithai Hostel	Thailand	88/5 Patak Road, Karon  	83100	Phuket	Kata	7,823333745	98,29858303	18/11/16
479263	Rojjana Residence	Thailand	10/70, Moo.6 T.Kamala A.Krathu  	83150	Phuket	Kamala	7,947205942	98,27907164	18/11/16
479380	Tuana M-Narina Hotel	Thailand	34/66 Prachanukroh Rd  	83150	Phuket	Patong	7,881937981	98,29327393	18/11/16
486988	Arch Club Hotel	Thailand	86/13 Pra Baramee Road  	83150	Phuket	Patong	7,903437138	98,30685425	18/11/16
487106	Baan Surin	Thailand	39/3 srisunthorn rd.  	83110	Phuket	Surin	7,977427959	98,28715515	18/11/16
487165	Clear House Resort	Thailand	97/97 Kamala  	83150	Phuket	Kamala	7,949693203	98,28594208	18/11/16
